[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010566s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010986s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ContentReplace Behavior [ RunTime:0.001476s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run TokenBuild Behavior [ RunTime:0.000997s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000562s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000782s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004171s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000776s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000859s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.001329s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001474s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ app_begin ] --START--
