[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000730s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000813s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003009s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000214s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.007746s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.007985s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001699s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001854s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003161s ]
[ 2014-08-12T01:29:59+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000252s ]
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002881s ]
